lang,scale,n_seeds,svm_mean,svm_std,afro_mean,afro_std,delta_mean,t_stat,p_value,significant,direction
lug,100,5,0.768922,0.029153,0.546483,0.115530,-0.222439,-3.778411,0.019462,True,svm > afro
lug,250,5,0.852151,0.009995,0.797581,0.046522,-0.054570,-2.413275,0.073294,False,svm > afro
lug,500,5,0.870480,0.011405,0.882483,0.010538,0.012004,1.450614,0.220503,False,afro > svm
lug,750,5,0.879704,0.003436,0.886595,0.004208,0.006890,2.804569,0.048585,True,afro > svm
lug,full,1,,,,,,,,,—
run,100,5,0.745540,0.022751,0.861247,0.009690,0.115708,12.807734,0.000214,True,afro > svm
run,250,5,0.815120,0.004740,0.896186,0.007132,0.081065,30.036833,0.000007,True,afro > svm
run,500,5,0.847774,0.010780,0.895326,0.008477,0.047552,6.187468,0.003468,True,afro > svm
run,750,5,0.853069,0.010307,0.891234,0.007905,0.038165,6.982113,0.002213,True,afro > svm
run,full,1,,,,,,,,,—
sna,100,5,0.895285,0.011988,0.895191,0.015351,-0.000094,-0.009740,0.992696,False,svm > afro
sna,250,5,0.912763,0.006413,0.917984,0.008334,0.005222,1.366434,0.243575,False,afro > svm
sna,500,5,0.928817,0.005537,0.922307,0.006573,-0.006510,-3.621857,0.022320,True,svm > afro
sna,750,5,0.924517,0.009479,0.927888,0.003748,0.003371,0.626591,0.564911,False,afro > svm
sna,full,1,,,,,,,,,—
swa,100,5,0.703941,0.018629,0.782821,0.048108,0.078880,3.266684,0.030886,True,afro > svm
swa,250,5,0.767187,0.019086,0.833003,0.013160,0.065816,6.962127,0.002237,True,afro > svm
swa,500,5,0.797016,0.011223,0.835761,0.008507,0.038745,7.703038,0.001528,True,afro > svm
swa,750,5,0.804487,0.009626,0.842666,0.006339,0.038179,11.977314,0.000278,True,afro > svm
swa,full,1,,,,,,,,,—
