lang,language,scale,seed,n_examples,total_tokens,unique_types,ttr
lug,Luganda,100,42,100,24781,6759,0.27274928372543483
lug,Luganda,100,123,100,24016,6677,0.2780229846768821
lug,Luganda,100,456,100,23928,6582,0.2750752256770311
lug,Luganda,100,789,100,23229,6495,0.27960738731757717
lug,Luganda,100,1024,100,24502,6687,0.27291649661252143
lug,Luganda,250,42,250,60703,12612,0.20776567879676458
lug,Luganda,250,123,250,60707,12473,0.20546230253512773
lug,Luganda,250,456,250,59399,12307,0.2071920402700382
lug,Luganda,250,789,250,58882,12550,0.21313814068815598
lug,Luganda,250,1024,250,59496,12534,0.21066962484872934
lug,Luganda,500,42,500,121487,19961,0.16430564587157473
lug,Luganda,500,123,500,121720,19916,0.16362142622412093
lug,Luganda,500,456,500,120102,19760,0.16452681887062665
lug,Luganda,500,789,500,119649,19921,0.1664953321799597
lug,Luganda,500,1024,500,120017,19921,0.1659848188173342
lug,Luganda,750,42,750,180279,25958,0.14398792981989028
lug,Luganda,750,123,750,180691,25935,0.14353232867159957
lug,Luganda,750,456,750,180109,25907,0.14384067425836577
lug,Luganda,750,789,750,180908,26027,0.14386870674597033
lug,Luganda,750,1024,750,181044,25961,0.14339608051081504
lug,Luganda,full,42,771,185949,26456,0.1422755701832223
run,Rundi,100,42,100,38177,8352,0.21877046389187207
run,Rundi,100,123,100,41412,9098,0.21969477446150873
run,Rundi,100,456,100,43407,9244,0.2129610431497224
run,Rundi,100,789,100,43034,9484,0.22038388251150254
run,Rundi,100,1024,100,40735,8892,0.21828894071437338
run,Rundi,250,42,250,105627,16543,0.15661715281130772
run,Rundi,250,123,250,103556,16873,0.16293599598284986
run,Rundi,250,456,250,108120,17009,0.15731594524602294
run,Rundi,250,789,250,105378,16996,0.16128603693370533
run,Rundi,250,1024,250,107677,16917,0.15710876045952246
run,Rundi,500,42,500,212198,26103,0.12301246948604605
run,Rundi,500,123,500,205358,26242,0.12778659706463835
run,Rundi,500,456,500,214814,26060,0.12131425326096064
run,Rundi,500,789,500,216555,26925,0.12433331024451064
run,Rundi,500,1024,500,205471,25603,0.12460639214293015
run,Rundi,750,42,750,321732,34178,0.10623127323362301
run,Rundi,750,123,750,315040,34135,0.10835132046724226
run,Rundi,750,456,750,320877,33957,0.10582559672397834
run,Rundi,750,789,750,328179,35139,0.10707266461290942
run,Rundi,750,1024,750,317962,33951,0.10677691044841836
run,Rundi,full,42,1117,479874,44020,0.09173241309176992
sna,chiShona,100,42,100,23684,7893,0.333262962337443
sna,chiShona,100,123,100,23386,7923,0.33879243992132047
sna,chiShona,100,456,100,24388,8018,0.3287682466786944
sna,chiShona,100,789,100,23570,7822,0.33186253712346203
sna,chiShona,100,1024,100,26681,8454,0.31685469060380045
sna,chiShona,250,42,250,59188,14944,0.2524836115428803
sna,chiShona,250,123,250,60767,15357,0.25271940362367734
sna,chiShona,250,456,250,61328,15263,0.2488749021654057
sna,chiShona,250,789,250,56627,14176,0.2503399438430431
sna,chiShona,250,1024,250,63461,15718,0.24767967728211027
sna,chiShona,500,42,500,117127,23632,0.20176389730805025
sna,chiShona,500,123,500,119938,24092,0.20087044973236173
sna,chiShona,500,456,500,120341,23982,0.19928370214640065
sna,chiShona,500,789,500,117750,23332,0.19814861995753716
sna,chiShona,500,1024,500,123528,24367,0.19725892105433587
sna,chiShona,750,42,750,178969,31059,0.17354402159033128
sna,chiShona,750,123,750,178877,31244,0.17466750895866992
sna,chiShona,750,456,750,180649,31136,0.17235633742782966
sna,chiShona,750,789,750,176796,30863,0.17456842914998077
sna,chiShona,750,1024,750,182677,31484,0.17234791462526755
sna,chiShona,full,42,1288,307421,43827,0.14256345532673434
swa,Kiswahili,100,42,100,50531,9258,0.18321426451089431
swa,Kiswahili,100,123,100,52824,9842,0.18631682568529456
swa,Kiswahili,100,456,100,54344,9765,0.1796886500809657
swa,Kiswahili,100,789,100,55461,10102,0.18214601251329762
swa,Kiswahili,100,1024,100,56636,10158,0.1793558867151635
swa,Kiswahili,250,42,250,141542,18927,0.13372002656455328
swa,Kiswahili,250,123,250,132487,18438,0.1391683712364232
swa,Kiswahili,250,456,250,140931,18834,0.13363986631755967
swa,Kiswahili,250,789,250,135553,18645,0.13754767507912036
swa,Kiswahili,250,1024,250,140561,18522,0.13177197088808418
swa,Kiswahili,500,42,500,275030,29214,0.10622113951205323
swa,Kiswahili,500,123,500,269681,28895,0.10714510848001899
swa,Kiswahili,500,456,500,287229,30196,0.10512866040685306
swa,Kiswahili,500,789,500,276263,29077,0.10525115560172733
swa,Kiswahili,500,1024,500,279968,29435,0.10513701565893245
swa,Kiswahili,750,42,750,408092,37638,0.09222920321888202
swa,Kiswahili,750,123,750,409250,37659,0.09201954795357362
swa,Kiswahili,750,456,750,423579,39074,0.09224725493945639
swa,Kiswahili,750,789,750,406857,37625,0.09247720943722242
swa,Kiswahili,750,1024,750,415496,38075,0.09163746462059803
swa,Kiswahili,full,42,1658,912420,62284,0.06826242300694856
