lang,language,scale,n_examples,mean_ttr,std_ttr,mean_total_tokens,mean_unique_types
lug,Luganda,100,100,0.27567427560188934,0.0030620901901736576,24091.2,6640.0
lug,Luganda,250,250,0.20884555742776317,0.003045495178158825,59837.4,12495.2
lug,Luganda,500,500,0.16498680839272323,0.0012053536857789527,120595.0,19895.8
lug,Luganda,750,750,0.14372514400132821,0.00024923604301182003,180606.2,25957.6
lug,Luganda,full,771,0.1422755701832223,,185949.0,26456.0
run,Rundi,100,100,0.21801982094579583,0.0029419967470507855,41353.0,9014.0
run,Rundi,250,250,0.15905277828668166,0.002863341127078073,106071.6,16867.6
run,Rundi,500,500,0.12421060443981717,0.0023866192297855226,210879.2,26186.6
run,Rundi,750,750,0.10685155309723429,0.0009670958562305438,320758.0,34272.0
run,Rundi,full,1117,0.09173241309176992,,479874.0,44020.0
sna,chiShona,100,100,0.3299081753329441,0.008150110183930555,24341.8,8022.0
sna,chiShona,250,250,0.25041950769142335,0.0022050427046640224,60274.2,15091.6
sna,chiShona,500,500,0.19946511803973715,0.0018636474556569295,119736.8,23881.0
sna,chiShona,750,750,0.17349684235041582,0.0011337736605491085,179593.6,31157.2
sna,chiShona,full,1288,0.14256345532673434,,307421.0,43827.0
swa,Kiswahili,100,100,0.18214432790112314,0.002844304077877902,53959.2,9825.0
swa,Kiswahili,250,250,0.13516958201714813,0.003067191074405251,138214.8,18673.2
swa,Kiswahili,500,500,0.105776615931917,0.0008909849181907652,277634.2,29363.4
swa,Kiswahili,750,750,0.0921221360339465,0.0003156841528615835,412654.8,38014.2
swa,Kiswahili,full,1658,0.06826242300694856,,912420.0,62284.0
