run_id,model,dataset,lang,n,seed,val_f1_weighted,test_f1_weighted,train_seconds
afroxlmr_amh_full_123,afroxlmr,sib200,amh,full,123,0.8261627240106437,0.8261627240106437,71.48056864738464
afroxlmr_amh_full_42,afroxlmr,sib200,amh,full,42,0.8659162195791884,0.8659162195791884,80.20818829536438
afroxlmr_amh_full_789,afroxlmr,sib200,amh,full,789,0.8526887055625781,0.8526887055625781,69.80702018737793
afroxlmr_amh_full_1024,afroxlmr,sib200,amh,full,1024,0.8381256321759755,0.8381256321759755,60.89214372634888
afroxlmr_amh_full_456,afroxlmr,sib200,amh,full,456,0.8372821760081618,0.8372821760081618,68.69599151611328
afroxlmr_amh_500_1024,afroxlmr,sib200,amh,500,1024,0.8500708351923185,0.8500708351923185,76.60924959182739
afroxlmr_amh_500_456,afroxlmr,sib200,amh,500,456,0.8240434115434115,0.8240434115434115,89.96487927436829
afroxlmr_amh_500_789,afroxlmr,sib200,amh,500,789,0.8481980054508937,0.8481980054508937,88.25711703300476
afroxlmr_amh_500_123,afroxlmr,sib200,amh,500,123,0.8413625435448285,0.8413625435448285,87.85891628265381
afroxlmr_amh_500_42,afroxlmr,sib200,amh,500,42,0.8440984766011278,0.8440984766011278,69.3396406173706
afroxlmr_amh_250_1024,afroxlmr,sib200,amh,250,1024,0.8109031766993807,0.8109031766993807,51.84054613113403
afroxlmr_amh_250_123,afroxlmr,sib200,amh,250,123,0.8210144927536231,0.8210144927536231,54.928200244903564
afroxlmr_amh_250_456,afroxlmr,sib200,amh,250,456,0.8122279074005416,0.8122279074005416,49.08523607254028
afroxlmr_amh_250_789,afroxlmr,sib200,amh,250,789,0.8206281077248819,0.8206281077248819,41.40294861793518
afroxlmr_amh_250_42,afroxlmr,sib200,amh,250,42,0.8364224988938948,0.8364224988938948,43.84542274475098
afroxlmr_yor_full_789,afroxlmr,sib200,yor,full,789,0.7408408408408409,0.7408408408408409,108.21998715400696
afroxlmr_amh_100_789,afroxlmr,sib200,amh,100,789,0.7946359814168872,0.7946359814168872,47.06709265708923
