lang,lambda,val_f1,test_f1,best_lambda,is_best
lug,0.0,0.141541,0.128039,0.8,False
lug,0.1,0.141541,0.128039,0.8,False
lug,0.2,0.141541,0.13074,0.8,False
lug,0.3,0.141541,0.13074,0.8,False
lug,0.4,0.146779,0.13411,0.8,False
lug,0.5,0.16099,0.140088,0.8,False
lug,0.6,0.859612,0.8312,0.8,False
lug,0.7,0.900416,0.887218,0.8,False
lug,0.8,0.917353,0.882955,0.8,True
lug,0.9,0.907143,0.882955,0.8,False
lug,1.0,0.907143,0.887312,0.8,False
run,0.0,0.928312,0.894503,0.8,False
run,0.1,0.928312,0.894503,0.8,False
run,0.2,0.928312,0.900711,0.8,False
run,0.3,0.928312,0.900711,0.8,False
run,0.4,0.928312,0.900711,0.8,False
run,0.5,0.933678,0.900711,0.8,False
run,0.6,0.933522,0.908809,0.8,False
run,0.7,0.939571,0.907321,0.8,False
run,0.8,0.947853,0.910329,0.8,True
run,0.9,0.936661,0.910329,0.8,False
run,1.0,0.929977,0.906474,0.8,False
sna,0.0,0.248994,0.259912,0.8,False
sna,0.1,0.248994,0.259912,0.8,False
sna,0.2,0.246647,0.258731,0.8,False
sna,0.3,0.246647,0.258731,0.8,False
sna,0.4,0.246585,0.258731,0.8,False
sna,0.5,0.255153,0.273547,0.8,False
sna,0.6,0.876387,0.903509,0.8,False
sna,0.7,0.907589,0.941103,0.8,False
sna,0.8,0.918848,0.934841,0.8,True
sna,0.9,0.918848,0.923988,0.8,False
sna,1.0,0.908167,0.918537,0.8,False
swa,0.0,0.886995,0.849992,0.7,False
swa,0.1,0.886995,0.853761,0.7,False
swa,0.2,0.886995,0.853761,0.7,False
swa,0.3,0.886995,0.855541,0.7,False
swa,0.4,0.887175,0.853557,0.7,False
swa,0.5,0.883441,0.855582,0.7,False
swa,0.6,0.895294,0.861654,0.7,False
swa,0.7,0.9034,0.859783,0.7,True
swa,0.8,0.881987,0.861885,0.7,False
swa,0.9,0.87734,0.84878,0.7,False
swa,1.0,0.859728,0.831908,0.7,False
