lang,scale,classifier,dominant_feature
amh,100,naive_bayes,char_3to5
amh,100,svm,char_3to5
amh,100,xgboost,char_3to5
amh,250,naive_bayes,char_3to5
amh,250,svm,char_3to5
amh,250,xgboost,char_3to5
amh,500,naive_bayes,char_3to5
amh,500,svm,word_unigram
amh,500,xgboost,char_3to5
amh,750,naive_bayes,word_bigram
amh,750,svm,char_3to5
amh,750,xgboost,char_3to5
amh,full,naive_bayes,word_unigram
amh,full,svm,char_3to5
amh,full,xgboost,word_bigram
hau,100,naive_bayes,word_unigram
hau,100,svm,char_3to5
hau,100,xgboost,char_3to5
hau,250,naive_bayes,word_unigram
hau,250,svm,char_3to5
hau,250,xgboost,char_3to5
hau,500,naive_bayes,word_bigram
hau,500,svm,char_3to5
hau,500,xgboost,char_3to5
hau,750,naive_bayes,word_bigram
hau,750,svm,char_3to5
hau,750,xgboost,char_3to5
hau,full,naive_bayes,word_bigram
hau,full,svm,word_bigram
hau,full,xgboost,char_3to5
ibo,100,naive_bayes,word_unigram
ibo,100,svm,char_3to5
ibo,100,xgboost,char_3to5
ibo,250,naive_bayes,char_3to5
ibo,250,svm,char_3to5
ibo,250,xgboost,char_3to5
ibo,500,naive_bayes,char_3to5
ibo,500,svm,char_3to5
ibo,500,xgboost,char_3to5
ibo,750,naive_bayes,char_3to5
ibo,750,svm,char_3to5
ibo,750,xgboost,char_3to5
ibo,full,naive_bayes,char_3to5
ibo,full,svm,char_3to5
ibo,full,xgboost,word_bigram
lug,100,naive_bayes,word_unigram
lug,100,svm,char_3to5
lug,100,xgboost,char_3to5
lug,250,naive_bayes,char_3to5
lug,250,svm,char_3to5
lug,250,xgboost,char_3to5
lug,500,naive_bayes,char_3to5
lug,500,svm,char_3to5
lug,500,xgboost,char_3to5
lug,750,naive_bayes,char_3to5
lug,750,svm,char_3to5
lug,750,xgboost,char_3to5
lug,full,naive_bayes,char_3to5
lug,full,svm,char_3to5
lug,full,xgboost,char_3to5
orm,100,naive_bayes,word_unigram
orm,100,svm,char_3to5
orm,100,xgboost,char_3to5
orm,250,naive_bayes,char_3to5
orm,250,svm,char_3to5
orm,250,xgboost,char_3to5
orm,500,naive_bayes,char_3to5
orm,500,svm,char_3to5
orm,500,xgboost,char_3to5
orm,750,naive_bayes,char_3to5
orm,750,svm,char_3to5
orm,750,xgboost,char_3to5
orm,full,naive_bayes,char_3to5
orm,full,svm,char_3to5
orm,full,xgboost,char_3to5
pcm,100,naive_bayes,word_unigram
pcm,100,svm,char_3to5
pcm,100,xgboost,char_3to5
pcm,250,naive_bayes,word_unigram
pcm,250,svm,char_3to5
pcm,250,xgboost,word_unigram
pcm,500,naive_bayes,word_unigram
pcm,500,svm,word_unigram
pcm,500,xgboost,char_3to5
pcm,750,naive_bayes,char_3to5
pcm,750,svm,word_unigram
pcm,750,xgboost,word_unigram
pcm,full,naive_bayes,char_3to5
pcm,full,svm,char_3to5
pcm,full,xgboost,word_bigram
run,100,naive_bayes,word_unigram
run,100,svm,char_3to5
run,100,xgboost,char_3to5
run,250,naive_bayes,word_unigram
run,250,svm,char_3to5
run,250,xgboost,char_3to5
run,500,naive_bayes,char_3to5
run,500,svm,char_3to5
run,500,xgboost,char_3to5
run,750,naive_bayes,word_bigram
run,750,svm,char_3to5
run,750,xgboost,char_3to5
run,full,naive_bayes,char_3to5
run,full,svm,char_3to5
run,full,xgboost,char_3to5
sna,100,naive_bayes,word_unigram
sna,100,svm,char_3to5
sna,100,xgboost,char_3to5
sna,250,naive_bayes,word_unigram
sna,250,svm,char_3to5
sna,250,xgboost,char_3to5
sna,500,naive_bayes,word_bigram
sna,500,svm,char_3to5
sna,500,xgboost,char_3to5
sna,750,naive_bayes,char_3to5
sna,750,svm,char_3to5
sna,750,xgboost,char_3to5
sna,full,naive_bayes,char_3to5
sna,full,svm,word_bigram
sna,full,xgboost,char_3to5
swa,100,naive_bayes,word_unigram
swa,100,svm,char_3to5
swa,100,xgboost,char_3to5
swa,250,naive_bayes,word_bigram
swa,250,svm,char_3to5
swa,250,xgboost,char_3to5
swa,500,naive_bayes,char_3to5
swa,500,svm,char_3to5
swa,500,xgboost,char_3to5
swa,750,naive_bayes,char_3to5
swa,750,svm,word_unigram
swa,750,xgboost,char_3to5
swa,full,naive_bayes,char_3to5
swa,full,svm,char_3to5
swa,full,xgboost,char_3to5
yor,100,naive_bayes,word_unigram
yor,100,svm,word_unigram
yor,100,xgboost,char_3to5
yor,250,naive_bayes,char_3to5
yor,250,svm,word_unigram
yor,250,xgboost,char_3to5
yor,500,naive_bayes,word_unigram
yor,500,svm,char_3to5
yor,500,xgboost,char_3to5
yor,750,naive_bayes,word_unigram
yor,750,svm,char_3to5
yor,750,xgboost,char_3to5
yor,full,naive_bayes,word_unigram
yor,full,svm,char_3to5
yor,full,xgboost,word_unigram
