lang,scale,seed,classifier,best_feature_type,best_clf_params,val_f1,test_f1,n_train
lug,750,42,naive_bayes,char_3to5,{'alpha': 0.01},0.854164,0.864945,750
lug,500,42,naive_bayes,char_3to5,{'alpha': 0.01},0.822645,0.847676,500
lug,750,1024,naive_bayes,char_3to5,{'alpha': 0.01},0.837731,0.860387,750
lug,750,789,naive_bayes,char_3to5,{'alpha': 0.01},0.854164,0.86571,750
lug,500,456,naive_bayes,char_3to5,{'alpha': 0.01},0.852495,0.859676,500
lug,full,42,naive_bayes,char_3to5,{'alpha': 0.01},0.854164,0.865403,771
lug,500,1024,naive_bayes,char_3to5,{'alpha': 0.01},0.850335,0.85967,500
lug,750,123,naive_bayes,char_3to5,{'alpha': 0.01},0.853502,0.870518,750
lug,500,789,naive_bayes,char_3to5,{'alpha': 0.01},0.853748,0.859701,500
lug,250,789,naive_bayes,char_3to5,{'alpha': 0.01},0.81523,0.825696,250
lug,250,1024,naive_bayes,char_3to5,{'alpha': 0.01},0.794656,0.801244,250
lug,500,123,naive_bayes,char_3to5,{'alpha': 0.01},0.836123,0.840605,500
lug,750,456,naive_bayes,char_3to5,{'alpha': 0.01},0.84597,0.865403,750
lug,250,42,naive_bayes,char_3to5,{'alpha': 0.01},0.797209,0.835938,250
lug,250,456,naive_bayes,char_3to5,{'alpha': 0.01},0.821995,0.810262,250
lug,100,42,naive_bayes,word_unigram,{'alpha': 0.01},0.7573,0.797345,100
lug,250,123,naive_bayes,word_unigram,{'alpha': 0.01},0.779762,0.800661,250
lug,100,1024,naive_bayes,word_unigram,{'alpha': 0.01},0.720573,0.746208,100
lug,100,123,naive_bayes,char_3to5,{'alpha': 0.01},0.753508,0.738502,100
lug,100,789,naive_bayes,word_unigram,{'alpha': 0.01},0.736497,0.795875,100
lug,100,456,naive_bayes,word_unigram,{'alpha': 0.01},0.797495,0.784031,100
lug,750,456,svm,char_3to5,{'C': 1.0},0.907143,0.876818,750
lug,750,123,svm,char_3to5,{'C': 1.0},0.897913,0.877328,750
lug,500,456,svm,char_3to5,{'C': 10.0},0.87975,0.87159,500
lug,750,1024,svm,char_3to5,{'C': 1.0},0.897913,0.881261,750
lug,750,789,svm,char_3to5,{'C': 10.0},0.897913,0.885786,750
lug,500,1024,svm,char_3to5,{'C': 10.0},0.886822,0.863166,500
lug,full,42,svm,char_3to5,{'C': 1.0},0.897913,0.876818,771
lug,250,789,svm,char_3to5,{'C': 10.0},0.855705,0.865855,250
lug,100,456,svm,char_3to5,{'C': 100.0},0.779237,0.78986,100
lug,500,123,svm,char_3to5,{'C': 1.0},0.860852,0.870918,500
lug,100,123,svm,char_3to5,{'C': 100.0},0.771439,0.794035,100
lug,250,456,svm,char_3to5,{'C': 10.0},0.846744,0.849023,250
lug,750,42,svm,char_3to5,{'C': 1.0},0.897913,0.877328,750
lug,250,42,svm,char_3to5,{'C': 10.0},0.842506,0.855601,250
lug,250,123,svm,char_3to5,{'C': 100.0},0.822152,0.854926,250
lug,100,1024,svm,word_unigram,{'C': 10.0},0.690697,0.727196,100
lug,500,789,svm,char_3to5,{'C': 10.0},0.897831,0.890374,500
lug,500,42,svm,char_3to5,{'C': 100.0},0.896138,0.85635,500
lug,250,1024,svm,char_3to5,{'C': 100.0},0.833806,0.83535,250
lug,100,789,svm,char_3to5,{'C': 10.0},0.765575,0.793501,100
lug,100,42,svm,word_unigram,{'C': 10.0},0.735203,0.74002,100
lug,750,1024,xgboost,char_3to5,{'n_estimators': 500},0.842008,0.861712,750
lug,750,123,xgboost,char_3to5,{'n_estimators': 500},0.820653,0.830172,750
lug,full,42,xgboost,char_3to5,{'n_estimators': 300},0.820622,0.839259,771
lug,750,456,xgboost,char_3to5,{'n_estimators': 500},0.852555,0.847694,750
lug,750,42,xgboost,char_3to5,{'n_estimators': 500},0.823323,0.844081,750
lug,750,789,xgboost,char_3to5,{'n_estimators': 500},0.861125,0.849349,750
lug,500,42,xgboost,char_3to5,{'n_estimators': 200},0.803662,0.827829,500
lug,500,1024,xgboost,char_3to5,{'n_estimators': 100},0.800458,0.814979,500
lug,500,123,xgboost,char_3to5,{'n_estimators': 100},0.81137,0.813546,500
lug,500,789,xgboost,char_3to5,{'n_estimators': 500},0.834333,0.83937,500
lug,500,456,xgboost,char_3to5,{'n_estimators': 200},0.850483,0.829153,500
lug,250,1024,xgboost,char_3to5,{'n_estimators': 200},0.759599,0.795198,250
lug,250,456,xgboost,char_3to5,{'n_estimators': 500},0.745044,0.792013,250
lug,250,42,xgboost,char_3to5,{'n_estimators': 200},0.769307,0.788551,250
lug,250,789,xgboost,char_3to5,{'n_estimators': 100},0.759223,0.783643,250
lug,250,123,xgboost,char_3to5,{'n_estimators': 300},0.785151,0.774111,250
lug,100,123,xgboost,char_3to5,{'n_estimators': 200},0.692593,0.651651,100
lug,100,1024,xgboost,char_3to5,{'n_estimators': 200},0.662451,0.699832,100
lug,100,789,xgboost,char_3to5,{'n_estimators': 200},0.699596,0.698364,100
lug,100,456,xgboost,char_3to5,{'n_estimators': 200},0.690506,0.67341,100
lug,100,42,xgboost,char_3to5,{'n_estimators': 200},0.668398,0.678926,100
run,500,123,naive_bayes,char_3to5,{'alpha': 0.01},0.873751,0.836944,500
run,750,1024,naive_bayes,word_bigram,{'alpha': 0.01},0.891116,0.827852,750
run,500,42,naive_bayes,word_unigram,{'alpha': 0.01},0.884038,0.816229,500
run,750,456,naive_bayes,char_3to5,{'alpha': 0.01},0.889523,0.824282,750
