lang,scale,classifier,mean_f1,std_f1,n_trials
lug,100,naive_bayes,0.7724,0.028,5
lug,100,svm,0.7689,0.0326,5
lug,100,xgboost,0.6804,0.0199,5
lug,250,naive_bayes,0.8148,0.0156,5
lug,250,svm,0.8522,0.0112,5
lug,250,xgboost,0.7867,0.0082,5
lug,500,naive_bayes,0.8535,0.0089,5
lug,500,svm,0.8705,0.0128,5
lug,500,xgboost,0.825,0.0108,5
lug,750,naive_bayes,0.8654,0.0036,5
lug,750,svm,0.8797,0.0038,5
lug,750,xgboost,0.8466,0.0113,5
lug,full,naive_bayes,0.8654,0.0,1
lug,full,svm,0.8768,0.0,1
lug,full,xgboost,0.8393,0.0,1
run,100,naive_bayes,0.7209,0.0264,5
run,100,svm,0.7455,0.0254,5
run,100,xgboost,0.7004,0.022,5
run,250,naive_bayes,0.7701,0.0156,5
run,250,svm,0.8151,0.0053,5
run,250,xgboost,0.7457,0.0301,5
run,500,naive_bayes,0.8096,0.0258,5
run,500,svm,0.8478,0.0121,5
run,500,xgboost,0.7945,0.023,5
run,750,naive_bayes,0.8349,0.0086,5
run,750,svm,0.8531,0.0115,5
run,750,xgboost,0.8117,0.025,5
run,full,naive_bayes,0.8568,0.0,1
run,full,svm,0.8973,0.0,1
run,full,xgboost,0.8609,0.0,1
sna,100,naive_bayes,0.8864,0.0206,5
sna,100,svm,0.8953,0.0134,5
sna,100,xgboost,0.8297,0.016,5
sna,250,naive_bayes,0.9063,0.0066,5
sna,250,svm,0.9128,0.0072,5
sna,250,xgboost,0.8799,0.0093,5
sna,500,naive_bayes,0.916,0.0089,5
sna,500,svm,0.9288,0.0062,5
sna,500,xgboost,0.8993,0.0118,5
sna,750,naive_bayes,0.9175,0.014,5
sna,750,svm,0.9245,0.0106,5
sna,750,xgboost,0.9125,0.0051,5
sna,full,naive_bayes,0.935,0.0,1
sna,full,svm,0.9159,0.0,1
sna,full,xgboost,0.9129,0.0,1
swa,100,naive_bayes,0.6565,0.0376,5
swa,100,svm,0.7039,0.0208,5
swa,100,xgboost,0.6178,0.0225,5
swa,250,naive_bayes,0.7047,0.0156,5
swa,250,svm,0.7672,0.0213,5
swa,250,xgboost,0.6747,0.0251,5
swa,500,naive_bayes,0.755,0.0142,5
swa,500,svm,0.797,0.0125,5
swa,500,xgboost,0.7269,0.0171,5
swa,750,naive_bayes,0.7683,0.0057,5
swa,750,svm,0.8045,0.0108,5
swa,750,xgboost,0.7584,0.0111,5
swa,full,naive_bayes,0.7903,0.0,1
swa,full,svm,0.8252,0.0,1
swa,full,xgboost,0.7847,0.0,1
