lang,scale,classifier,dominant_feature
amh,100,naive_bayes,char_3to5
amh,100,svm,word_unigram
amh,100,xgboost,char_3to5
amh,250,naive_bayes,char_3to5
amh,250,svm,char_3to5
amh,250,xgboost,char_3to5
amh,500,naive_bayes,char_3to5
amh,500,svm,char_3to5
amh,500,xgboost,char_3to5
amh,750,naive_bayes,char_3to5
amh,750,svm,char_3to5
amh,750,xgboost,word_bigram
amh,full,naive_bayes,char_3to5
amh,full,svm,word_bigram
amh,full,xgboost,char_3to5
hau,100,naive_bayes,char_3to5
hau,100,svm,char_3to5
hau,100,xgboost,char_3to5
hau,250,naive_bayes,char_3to5
hau,250,svm,char_3to5
hau,250,xgboost,char_3to5
hau,500,naive_bayes,char_3to5
hau,500,svm,char_3to5
hau,500,xgboost,char_3to5
hau,750,naive_bayes,char_3to5
hau,750,svm,char_3to5
hau,750,xgboost,char_3to5
hau,full,naive_bayes,word_bigram
hau,full,svm,char_3to5
hau,full,xgboost,char_3to5
ibo,100,naive_bayes,char_3to5
ibo,100,svm,char_3to5
ibo,100,xgboost,char_3to5
ibo,250,naive_bayes,word_bigram
ibo,250,svm,word_bigram
ibo,250,xgboost,char_3to5
ibo,500,naive_bayes,word_bigram
ibo,500,svm,char_3to5
ibo,500,xgboost,char_3to5
ibo,750,naive_bayes,char_3to5
ibo,750,svm,char_3to5
ibo,750,xgboost,char_3to5
ibo,full,naive_bayes,word_bigram
ibo,full,svm,word_bigram
ibo,full,xgboost,char_3to5
orm,100,naive_bayes,char_3to5
orm,100,svm,char_3to5
orm,100,xgboost,char_3to5
orm,250,naive_bayes,char_3to5
orm,250,svm,char_3to5
orm,250,xgboost,char_3to5
orm,500,naive_bayes,char_3to5
orm,500,svm,word_bigram
orm,500,xgboost,char_3to5
orm,750,naive_bayes,char_3to5
orm,750,svm,char_3to5
orm,750,xgboost,char_3to5
orm,full,naive_bayes,word_unigram
orm,full,svm,word_unigram
orm,full,xgboost,char_3to5
pcm,100,naive_bayes,char_3to5
pcm,100,svm,word_unigram
pcm,100,xgboost,word_unigram
pcm,250,naive_bayes,word_unigram
pcm,250,svm,word_bigram
pcm,250,xgboost,char_3to5
pcm,500,naive_bayes,char_3to5
pcm,500,svm,word_unigram
pcm,500,xgboost,char_3to5
pcm,750,naive_bayes,word_bigram
pcm,750,svm,word_bigram
pcm,750,xgboost,char_3to5
pcm,full,naive_bayes,word_bigram
pcm,full,svm,word_bigram
pcm,full,xgboost,word_bigram
swa,100,naive_bayes,char_3to5
swa,100,svm,char_3to5
swa,100,xgboost,char_3to5
swa,250,naive_bayes,word_unigram
swa,250,svm,char_3to5
swa,250,xgboost,char_3to5
swa,500,naive_bayes,char_3to5
swa,500,svm,char_3to5
swa,500,xgboost,char_3to5
swa,750,naive_bayes,char_3to5
swa,750,svm,char_3to5
swa,750,xgboost,char_3to5
swa,full,naive_bayes,char_3to5
swa,full,svm,char_3to5
swa,full,xgboost,char_3to5
yor,100,naive_bayes,char_3to5
yor,100,svm,char_3to5
yor,100,xgboost,char_3to5
yor,250,naive_bayes,char_3to5
yor,250,svm,char_3to5
yor,250,xgboost,char_3to5
yor,500,naive_bayes,char_3to5
yor,500,svm,char_3to5
yor,500,xgboost,char_3to5
yor,750,naive_bayes,char_3to5
yor,750,svm,char_3to5
yor,750,xgboost,char_3to5
yor,full,naive_bayes,word_bigram
yor,full,svm,char_3to5
yor,full,xgboost,char_3to5
