dataset,lang,scale,seed,classifier,best_feature_type,best_clf_params,val_f1,test_f1,n_train
afrisenti,amh,full,42,naive_bayes,char_3to5,{'alpha': 0.1},0.559374,0.511981,5984
afrisenti,amh,250,42,naive_bayes,char_3to5,{'alpha': 0.1},0.463642,0.276257,250
afrisenti,amh,100,42,naive_bayes,char_3to5,{'alpha': 0.1},0.438851,0.276374,100
afrisenti,amh,750,456,naive_bayes,char_3to5,{'alpha': 0.01},0.491571,0.440706,750
afrisenti,amh,750,123,naive_bayes,char_3to5,{'alpha': 0.01},0.505646,0.351775,750
afrisenti,amh,750,42,naive_bayes,char_3to5,{'alpha': 0.01},0.483026,0.405074,750
afrisenti,amh,500,1024,naive_bayes,char_3to5,{'alpha': 0.01},0.492592,0.457983,500
afrisenti,amh,500,123,naive_bayes,word_bigram,{'alpha': 0.01},0.492743,0.346514,500
afrisenti,amh,750,789,naive_bayes,word_bigram,{'alpha': 0.01},0.4696,0.346252,750
afrisenti,amh,250,456,naive_bayes,char_3to5,{'alpha': 0.1},0.452485,0.289,250
afrisenti,amh,250,1024,naive_bayes,char_3to5,{'alpha': 0.1},0.45593,0.404492,250
afrisenti,amh,250,789,naive_bayes,char_3to5,{'alpha': 0.1},0.458808,0.262707,250
afrisenti,amh,750,1024,naive_bayes,char_3to5,{'alpha': 0.01},0.502212,0.451756,750
afrisenti,amh,500,789,naive_bayes,word_bigram,{'alpha': 0.01},0.461075,0.324211,500
afrisenti,amh,500,456,naive_bayes,char_3to5,{'alpha': 0.01},0.478665,0.455678,500
afrisenti,amh,100,789,naive_bayes,word_bigram,{'alpha': 0.01},0.460337,0.344405,100
afrisenti,amh,100,456,naive_bayes,char_3to5,{'alpha': 0.1},0.422724,0.245936,100
afrisenti,amh,100,1024,naive_bayes,word_bigram,{'alpha': 0.01},0.447977,0.388728,100
afrisenti,amh,250,123,naive_bayes,word_unigram,{'alpha': 0.01},0.492556,0.35138,250
afrisenti,amh,500,42,naive_bayes,char_3to5,{'alpha': 0.01},0.468624,0.387456,500
afrisenti,amh,100,123,naive_bayes,word_unigram,{'alpha': 0.01},0.470243,0.358223,100
afrisenti,amh,full,42,svm,word_bigram,{'C': 1.0},0.54189,0.414292,5984
afrisenti,amh,750,1024,svm,char_3to5,{'C': 100.0},0.504866,0.421081,750
afrisenti,amh,750,789,svm,char_3to5,{'C': 100.0},0.480927,0.326669,750
afrisenti,amh,500,456,svm,char_3to5,{'C': 100.0},0.471404,0.354989,500
afrisenti,amh,750,456,svm,char_3to5,{'C': 100.0},0.488136,0.378572,750
afrisenti,amh,250,1024,svm,char_3to5,{'C': 100.0},0.459819,0.405553,250
afrisenti,amh,250,123,svm,word_unigram,{'C': 100.0},0.48419,0.271582,250
afrisenti,amh,250,42,svm,word_unigram,{'C': 10.0},0.458914,0.265497,250
afrisenti,amh,750,42,svm,word_unigram,{'C': 1.0},0.471114,0.306827,750
afrisenti,amh,500,1024,svm,char_3to5,{'C': 100.0},0.48944,0.381044,500
afrisenti,amh,500,123,svm,char_3to5,{'C': 10.0},0.510539,0.277466,500
afrisenti,amh,500,789,svm,char_3to5,{'C': 100.0},0.466171,0.297697,500
afrisenti,amh,750,123,svm,char_3to5,{'C': 10.0},0.526746,0.338356,750
afrisenti,amh,100,1024,svm,word_unigram,{'C': 10.0},0.449776,0.323215,100
afrisenti,amh,500,42,svm,word_bigram,{'C': 100.0},0.481261,0.28573,500
afrisenti,amh,100,789,svm,word_unigram,{'C': 100.0},0.446685,0.27193,100
afrisenti,amh,250,456,svm,word_bigram,{'C': 100.0},0.453388,0.325695,250
afrisenti,amh,250,789,svm,char_3to5,{'C': 100.0},0.457948,0.267211,250
afrisenti,amh,100,456,svm,char_3to5,{'C': 10.0},0.427818,0.168693,100
afrisenti,amh,100,123,svm,word_unigram,{'C': 100.0},0.46556,0.296761,100
afrisenti,amh,100,42,svm,char_3to5,{'C': 100.0},0.42575,0.206399,100
afrisenti,amh,full,42,xgboost,char_3to5,{'n_estimators': 500},0.534746,0.429196,5984
afrisenti,amh,750,42,xgboost,word_bigram,{'n_estimators': 200},0.45661,0.248093,750
afrisenti,amh,750,123,xgboost,word_bigram,{'n_estimators': 300},0.492204,0.343479,750
afrisenti,amh,750,456,xgboost,char_3to5,{'n_estimators': 100},0.468339,0.328903,750
afrisenti,amh,750,1024,xgboost,word_bigram,{'n_estimators': 200},0.480951,0.304674,750
afrisenti,amh,500,1024,xgboost,char_3to5,{'n_estimators': 300},0.469215,0.405384,500
afrisenti,amh,500,456,xgboost,char_3to5,{'n_estimators': 300},0.447972,0.32251,500
afrisenti,amh,750,789,xgboost,word_bigram,{'n_estimators': 100},0.458692,0.26492,750
afrisenti,amh,500,789,xgboost,word_bigram,{'n_estimators': 500},0.466286,0.357059,500
afrisenti,amh,500,42,xgboost,char_3to5,{'n_estimators': 200},0.460797,0.318149,500
afrisenti,amh,500,123,xgboost,word_bigram,{'n_estimators': 300},0.479428,0.316061,500
afrisenti,amh,250,1024,xgboost,char_3to5,{'n_estimators': 300},0.444698,0.418423,250
afrisenti,amh,250,123,xgboost,char_3to5,{'n_estimators': 200},0.45325,0.298394,250
afrisenti,amh,250,456,xgboost,word_bigram,{'n_estimators': 100},0.429139,0.202966,250
afrisenti,amh,250,789,xgboost,char_3to5,{'n_estimators': 200},0.445217,0.276553,250
afrisenti,amh,250,42,xgboost,word_unigram,{'n_estimators': 100},0.443412,0.186564,250
afrisenti,amh,100,456,xgboost,char_3to5,{'n_estimators': 500},0.394968,0.207204,100
afrisenti,amh,100,123,xgboost,char_3to5,{'n_estimators': 100},0.388236,0.434304,100
afrisenti,amh,100,1024,xgboost,word_unigram,{'n_estimators': 300},0.418861,0.313782,100
afrisenti,amh,100,42,xgboost,word_unigram,{'n_estimators': 100},0.386411,0.123582,100
afrisenti,amh,100,789,xgboost,char_3to5,{'n_estimators': 100},0.423288,0.277974,100
afrisenti,hau,500,1024,naive_bayes,char_3to5,{'alpha': 0.1},0.619386,0.58971,500
afrisenti,hau,full,42,naive_bayes,word_bigram,{'alpha': 1.0},0.738159,0.730625,14172
afrisenti,hau,100,789,naive_bayes,char_3to5,{'alpha': 1.0},0.566897,0.539952,100
afrisenti,hau,750,456,naive_bayes,char_3to5,{'alpha': 0.5},0.656962,0.624231,750
afrisenti,hau,750,1024,naive_bayes,char_3to5,{'alpha': 0.1},0.628889,0.610136,750
afrisenti,hau,750,42,naive_bayes,char_3to5,{'alpha': 1.0},0.638127,0.597705,750
afrisenti,hau,750,789,naive_bayes,char_3to5,{'alpha': 1.0},0.632397,0.598925,750
afrisenti,hau,100,123,naive_bayes,char_3to5,{'alpha': 1.0},0.568536,0.547597,100
afrisenti,hau,500,42,naive_bayes,char_3to5,{'alpha': 0.5},0.622385,0.605953,500
afrisenti,hau,500,456,naive_bayes,char_3to5,{'alpha': 1.0},0.635297,0.595516,500
afrisenti,hau,750,123,naive_bayes,char_3to5,{'alpha': 1.0},0.659651,0.63439,750
afrisenti,hau,100,456,naive_bayes,char_3to5,{'alpha': 0.1},0.563934,0.567772,100
afrisenti,hau,250,123,naive_bayes,char_3to5,{'alpha': 0.5},0.602983,0.56753,250
afrisenti,hau,250,42,naive_bayes,char_3to5,{'alpha': 1.0},0.607712,0.596976,250
afrisenti,hau,500,123,naive_bayes,char_3to5,{'alpha': 1.0},0.631068,0.616681,500
afrisenti,hau,500,789,naive_bayes,char_3to5,{'alpha': 1.0},0.619029,0.585969,500
afrisenti,hau,100,1024,naive_bayes,char_3to5,{'alpha': 0.1},0.51603,0.48361,100
afrisenti,hau,250,1024,naive_bayes,char_3to5,{'alpha': 0.1},0.577722,0.56514,250
afrisenti,hau,250,789,naive_bayes,char_3to5,{'alpha': 1.0},0.590623,0.565558,250
afrisenti,hau,250,456,naive_bayes,char_3to5,{'alpha': 0.1},0.598336,0.586438,250
afrisenti,hau,100,42,naive_bayes,char_3to5,{'alpha': 0.5},0.559272,0.557246,100
afrisenti,hau,full,42,svm,char_3to5,{'C': 1.0},0.773664,0.760946,14172
afrisenti,hau,500,1024,svm,char_3to5,{'C': 1.0},0.655348,0.60691,500
afrisenti,hau,500,789,svm,char_3to5,{'C': 1.0},0.664217,0.641883,500
afrisenti,hau,750,1024,svm,char_3to5,{'C': 0.1},0.658874,0.618837,750
afrisenti,hau,750,789,svm,char_3to5,{'C': 0.1},0.675598,0.661276,750
afrisenti,hau,750,42,svm,char_3to5,{'C': 1.0},0.670932,0.635236,750
afrisenti,hau,750,456,svm,char_3to5,{'C': 0.1},0.671313,0.652284,750
afrisenti,hau,250,42,svm,char_3to5,{'C': 1.0},0.62455,0.613318,250
afrisenti,hau,250,456,svm,char_3to5,{'C': 1.0},0.624804,0.607731,250
afrisenti,hau,500,42,svm,char_3to5,{'C': 0.1},0.661604,0.646025,500
afrisenti,hau,250,123,svm,char_3to5,{'C': 0.1},0.628324,0.611501,250
