lang,scale,classifier,mean_f1,std_f1,n_trials
amh,100,naive_bayes,0.3227,0.0594,5
amh,100,svm,0.2534,0.0642,5
amh,100,xgboost,0.2714,0.1166,5
amh,250,naive_bayes,0.3168,0.0596,5
amh,250,svm,0.3071,0.0605,5
amh,250,xgboost,0.2766,0.0924,5
amh,500,naive_bayes,0.3944,0.0614,5
amh,500,svm,0.3194,0.0459,5
amh,500,xgboost,0.3438,0.0382,5
amh,750,naive_bayes,0.3991,0.0489,5
amh,750,svm,0.3543,0.0456,5
amh,750,xgboost,0.298,0.0408,5
amh,full,naive_bayes,0.512,0.0,1
amh,full,svm,0.4143,0.0,1
amh,full,xgboost,0.4292,0.0,1
hau,100,naive_bayes,0.5392,0.0328,5
hau,100,svm,0.5697,0.0296,5
hau,100,xgboost,0.4927,0.0482,5
hau,250,naive_bayes,0.5763,0.0146,5
hau,250,svm,0.6078,0.0137,5
hau,250,xgboost,0.5497,0.0248,5
hau,500,naive_bayes,0.5988,0.0125,5
hau,500,svm,0.636,0.0178,5
hau,500,xgboost,0.5925,0.0187,5
hau,750,naive_bayes,0.6131,0.016,5
hau,750,svm,0.6446,0.0174,5
hau,750,xgboost,0.6107,0.0141,5
hau,full,naive_bayes,0.7306,0.0,1
hau,full,svm,0.7609,0.0,1
hau,full,xgboost,0.7501,0.0,1
ibo,100,naive_bayes,0.5752,0.0131,5
ibo,100,svm,0.5774,0.0135,5
ibo,100,xgboost,0.4802,0.0194,5
ibo,250,naive_bayes,0.6359,0.013,5
ibo,250,svm,0.6394,0.0195,5
ibo,250,xgboost,0.5483,0.032,5
ibo,500,naive_bayes,0.6634,0.0084,5
ibo,500,svm,0.6844,0.0118,5
ibo,500,xgboost,0.6223,0.011,5
ibo,750,naive_bayes,0.6816,0.0129,5
ibo,750,svm,0.7017,0.0126,5
ibo,750,xgboost,0.6466,0.013,5
ibo,full,naive_bayes,0.7722,0.0,1
ibo,full,svm,0.791,0.0,1
ibo,full,xgboost,0.7931,0.0,1
orm,100,naive_bayes,0.2485,0.0432,5
orm,100,svm,0.222,0.0298,5
orm,100,xgboost,0.252,0.0665,5
orm,250,naive_bayes,0.2276,0.0677,5
orm,250,svm,0.2186,0.0533,5
orm,250,xgboost,0.2892,0.0218,5
orm,500,naive_bayes,0.226,0.0563,5
orm,500,svm,0.2403,0.0413,5
orm,500,xgboost,0.2958,0.0459,5
orm,750,naive_bayes,0.2439,0.0507,5
orm,750,svm,0.2708,0.0282,5
orm,750,xgboost,0.2795,0.0371,5
orm,full,naive_bayes,0.2754,0.0,1
orm,full,svm,0.314,0.0,1
orm,full,xgboost,0.2667,0.0,1
pcm,100,naive_bayes,0.4942,0.008,5
pcm,100,svm,0.4889,0.0078,5
pcm,100,xgboost,0.4774,0.0139,5
pcm,250,naive_bayes,0.5026,0.0056,5
pcm,250,svm,0.5088,0.0037,5
pcm,250,xgboost,0.496,0.0089,5
pcm,500,naive_bayes,0.518,0.0059,5
pcm,500,svm,0.5223,0.0083,5
pcm,500,xgboost,0.5076,0.006,5
pcm,750,naive_bayes,0.5338,0.0028,5
pcm,750,svm,0.5393,0.0051,5
pcm,750,xgboost,0.5227,0.0076,5
pcm,full,naive_bayes,0.5956,0.0,1
pcm,full,svm,0.6216,0.0,1
pcm,full,xgboost,0.6061,0.0,1
swa,100,naive_bayes,0.5043,0.0143,5
swa,100,svm,0.502,0.012,5
swa,100,xgboost,0.4865,0.0136,5
swa,250,naive_bayes,0.5205,0.0193,5
swa,250,svm,0.524,0.0097,5
swa,250,xgboost,0.4949,0.0078,5
swa,500,naive_bayes,0.5353,0.0121,5
swa,500,svm,0.5445,0.0116,5
swa,500,xgboost,0.5154,0.0188,5
swa,750,naive_bayes,0.5549,0.0186,5
swa,750,svm,0.5507,0.0073,5
swa,750,xgboost,0.517,0.0125,5
swa,full,naive_bayes,0.5755,0.0,1
swa,full,svm,0.5611,0.0,1
swa,full,xgboost,0.5253,0.0,1
yor,100,naive_bayes,0.5135,0.0082,5
yor,100,svm,0.513,0.0171,5
yor,100,xgboost,0.4146,0.0331,5
yor,250,naive_bayes,0.5475,0.0139,5
yor,250,svm,0.5622,0.007,5
yor,250,xgboost,0.5036,0.0203,5
yor,500,naive_bayes,0.5864,0.0057,5
yor,500,svm,0.6032,0.011,5
yor,500,xgboost,0.5388,0.0063,5
yor,750,naive_bayes,0.6004,0.0063,5
yor,750,svm,0.6184,0.0061,5
yor,750,xgboost,0.5678,0.0116,5
yor,full,naive_bayes,0.7161,0.0,1
yor,full,svm,0.7328,0.0,1
yor,full,xgboost,0.7033,0.0,1
