lang,scale,classifier,dominant_feature
amh,100,naive_bayes,char_3to5
amh,100,svm,char_3to5
amh,100,xgboost,char_3to5
amh,250,naive_bayes,char_3to5
amh,250,svm,char_3to5
amh,250,xgboost,char_3to5
amh,500,naive_bayes,char_3to5
amh,500,svm,char_3to5
amh,500,xgboost,char_3to5
amh,full,naive_bayes,char_3to5
amh,full,svm,char_3to5
amh,full,xgboost,char_3to5
gaz,100,naive_bayes,char_3to5
gaz,100,svm,char_3to5
gaz,100,xgboost,char_3to5
gaz,250,naive_bayes,char_3to5
gaz,250,svm,char_3to5
gaz,250,xgboost,char_3to5
gaz,500,naive_bayes,char_3to5
gaz,500,svm,char_3to5
gaz,500,xgboost,char_3to5
gaz,full,naive_bayes,char_3to5
gaz,full,svm,char_3to5
gaz,full,xgboost,char_3to5
hau,100,naive_bayes,char_3to5
hau,100,svm,char_3to5
hau,100,xgboost,char_3to5
hau,250,naive_bayes,char_3to5
hau,250,svm,char_3to5
hau,250,xgboost,char_3to5
hau,500,naive_bayes,char_3to5
hau,500,svm,char_3to5
hau,500,xgboost,char_3to5
hau,full,naive_bayes,char_3to5
hau,full,svm,char_3to5
hau,full,xgboost,char_3to5
ibo,100,naive_bayes,char_3to5
ibo,100,svm,char_3to5
ibo,100,xgboost,char_3to5
ibo,250,naive_bayes,char_3to5
ibo,250,svm,word_bigram
ibo,250,xgboost,char_3to5
ibo,500,naive_bayes,word_bigram
ibo,500,svm,word_bigram
ibo,500,xgboost,char_3to5
ibo,full,naive_bayes,word_bigram
ibo,full,svm,word_bigram
ibo,full,xgboost,char_3to5
lug,100,naive_bayes,char_3to5
lug,100,svm,char_3to5
lug,100,xgboost,char_3to5
lug,250,naive_bayes,char_3to5
lug,250,svm,char_3to5
lug,250,xgboost,char_3to5
lug,500,naive_bayes,char_3to5
lug,500,svm,char_3to5
lug,500,xgboost,char_3to5
lug,full,naive_bayes,char_3to5
lug,full,svm,char_3to5
lug,full,xgboost,char_3to5
run,100,naive_bayes,char_3to5
run,100,svm,char_3to5
run,100,xgboost,char_3to5
run,250,naive_bayes,char_3to5
run,250,svm,char_3to5
run,250,xgboost,char_3to5
run,500,naive_bayes,char_3to5
run,500,svm,char_3to5
run,500,xgboost,char_3to5
run,full,naive_bayes,char_3to5
run,full,svm,char_3to5
run,full,xgboost,char_3to5
sna,100,naive_bayes,char_3to5
sna,100,svm,char_3to5
sna,100,xgboost,char_3to5
sna,250,naive_bayes,char_3to5
sna,250,svm,char_3to5
sna,250,xgboost,char_3to5
sna,500,naive_bayes,char_3to5
sna,500,svm,char_3to5
sna,500,xgboost,char_3to5
sna,full,naive_bayes,char_3to5
sna,full,svm,char_3to5
sna,full,xgboost,char_3to5
swh,100,naive_bayes,char_3to5
swh,100,svm,char_3to5
swh,100,xgboost,char_3to5
swh,250,naive_bayes,word_bigram
swh,250,svm,char_3to5
swh,250,xgboost,char_3to5
swh,500,naive_bayes,char_3to5
swh,500,svm,word_bigram
swh,500,xgboost,char_3to5
swh,full,naive_bayes,word_bigram
swh,full,svm,char_3to5
swh,full,xgboost,char_3to5
yor,100,naive_bayes,char_3to5
yor,100,svm,char_3to5
yor,100,xgboost,char_3to5
yor,250,naive_bayes,char_3to5
yor,250,svm,char_3to5
yor,250,xgboost,char_3to5
yor,500,naive_bayes,char_3to5
yor,500,svm,char_3to5
yor,500,xgboost,char_3to5
yor,full,naive_bayes,char_3to5
yor,full,svm,char_3to5
yor,full,xgboost,char_3to5
