dataset,lang,scale,seed,classifier,best_feature_type,best_clf_params,val_f1,test_f1,n_train
sib200,hau,250,456,naive_bayes,char_3to5,{'alpha': 0.01},0.614502,0.614502,250
sib200,hau,500,1024,naive_bayes,char_3to5,{'alpha': 0.01},0.627511,0.627511,500
sib200,hau,500,456,naive_bayes,char_3to5,{'alpha': 0.01},0.626448,0.626448,500
sib200,hau,100,123,naive_bayes,char_3to5,{'alpha': 0.01},0.469899,0.469899,100
sib200,hau,250,789,naive_bayes,char_3to5,{'alpha': 0.01},0.543812,0.543812,250
sib200,hau,500,789,naive_bayes,char_3to5,{'alpha': 0.01},0.625572,0.625572,500
sib200,hau,500,42,naive_bayes,char_3to5,{'alpha': 0.01},0.607077,0.607077,500
sib200,hau,500,123,naive_bayes,char_3to5,{'alpha': 0.01},0.609659,0.609659,500
sib200,hau,full,42,naive_bayes,char_3to5,{'alpha': 0.01},0.66242,0.66242,701
sib200,hau,250,123,naive_bayes,char_3to5,{'alpha': 0.01},0.501954,0.501954,250
sib200,hau,250,42,naive_bayes,char_3to5,{'alpha': 0.01},0.478198,0.478198,250
sib200,hau,100,789,naive_bayes,char_3to5,{'alpha': 0.01},0.487866,0.487866,100
sib200,hau,100,456,naive_bayes,word_unigram,{'alpha': 0.01},0.398959,0.398959,100
sib200,hau,250,1024,naive_bayes,char_3to5,{'alpha': 0.01},0.607806,0.607806,250
sib200,hau,100,1024,naive_bayes,char_3to5,{'alpha': 0.01},0.466829,0.466829,100
sib200,hau,100,42,naive_bayes,char_3to5,{'alpha': 0.01},0.424425,0.424425,100
sib200,hau,500,123,svm,char_3to5,{'C': 1.0},0.604011,0.604011,500
sib200,hau,100,1024,svm,char_3to5,{'C': 1.0},0.5383,0.5383,100
sib200,hau,full,42,svm,char_3to5,{'C': 1.0},0.710164,0.710164,701
sib200,hau,250,456,svm,char_3to5,{'C': 100.0},0.569808,0.569808,250
sib200,hau,250,123,svm,char_3to5,{'C': 100.0},0.517867,0.517867,250
sib200,hau,250,42,svm,char_3to5,{'C': 1.0},0.586236,0.586236,250
sib200,hau,500,1024,svm,char_3to5,{'C': 10.0},0.678049,0.678049,500
sib200,hau,100,123,svm,char_3to5,{'C': 10.0},0.503813,0.503813,100
sib200,hau,500,42,svm,char_3to5,{'C': 10.0},0.695891,0.695891,500
sib200,hau,250,1024,svm,char_3to5,{'C': 1.0},0.586732,0.586732,250
sib200,hau,500,789,svm,char_3to5,{'C': 10.0},0.668962,0.668962,500
sib200,hau,500,456,svm,char_3to5,{'C': 100.0},0.693664,0.693664,500
sib200,hau,250,789,svm,char_3to5,{'C': 100.0},0.553705,0.553705,250
sib200,hau,100,42,svm,char_3to5,{'C': 100.0},0.456349,0.456349,100
sib200,hau,100,789,svm,char_3to5,{'C': 10.0},0.455403,0.455403,100
sib200,hau,100,456,svm,char_3to5,{'C': 10.0},0.422975,0.422975,100
sib200,hau,full,42,xgboost,char_3to5,{'n_estimators': 200},0.574698,0.574698,701
sib200,hau,500,456,xgboost,char_3to5,{'n_estimators': 100},0.500502,0.500502,500
sib200,hau,500,789,xgboost,word_unigram,{'n_estimators': 100},0.505712,0.505712,500
sib200,hau,500,1024,xgboost,char_3to5,{'n_estimators': 100},0.552452,0.552452,500
sib200,hau,500,42,xgboost,char_3to5,{'n_estimators': 300},0.601446,0.601446,500
sib200,hau,500,123,xgboost,char_3to5,{'n_estimators': 100},0.527557,0.527557,500
sib200,hau,250,42,xgboost,char_3to5,{'n_estimators': 100},0.51003,0.51003,250
sib200,hau,250,1024,xgboost,char_3to5,{'n_estimators': 100},0.463366,0.463366,250
sib200,hau,250,123,xgboost,char_3to5,{'n_estimators': 100},0.43415,0.43415,250
sib200,hau,250,456,xgboost,char_3to5,{'n_estimators': 100},0.404647,0.404647,250
sib200,hau,250,789,xgboost,char_3to5,{'n_estimators': 100},0.425676,0.425676,250
sib200,hau,100,123,xgboost,char_3to5,{'n_estimators': 300},0.325946,0.325946,100
sib200,hau,100,42,xgboost,char_3to5,{'n_estimators': 200},0.335083,0.335083,100
sib200,hau,100,789,xgboost,char_3to5,{'n_estimators': 300},0.279157,0.279157,100
sib200,hau,100,456,xgboost,char_3to5,{'n_estimators': 500},0.32082,0.32082,100
sib200,hau,100,1024,xgboost,word_unigram,{'n_estimators': 200},0.284663,0.284663,100
sib200,ibo,100,456,naive_bayes,char_3to5,{'alpha': 0.01},0.49991,0.49991,100
sib200,ibo,full,42,naive_bayes,word_bigram,{'alpha': 0.01},0.732147,0.732147,701
sib200,ibo,500,123,naive_bayes,char_3to5,{'alpha': 0.01},0.67582,0.67582,500
