Language,Scale,NB,SVM,XGB
Hausa,100,C-35,C-35,C-35
Hausa,250,C-35,C-35,C-35
Hausa,500,C-35,C-35,C-35
Hausa,full,C-35,C-35,C-35
Igbo,100,C-35,C-35,C-35
Igbo,250,C-35,W-2,C-35
Igbo,500,W-2,W-2,C-35
Igbo,full,W-2,W-2,C-35
Luganda,100,C-35,C-35,C-35
Luganda,250,C-35,C-35,C-35
Luganda,500,C-35,C-35,C-35
Luganda,full,C-35,C-35,C-35
Oromo,100,C-35,C-35,C-35
Oromo,250,C-35,C-35,C-35
Oromo,500,C-35,C-35,C-35
Oromo,full,C-35,C-35,C-35
Rundi,100,C-35,C-35,C-35
Rundi,250,C-35,C-35,C-35
Rundi,500,C-35,C-35,C-35
Rundi,full,C-35,C-35,C-35
chiShona,100,C-35,C-35,C-35
chiShona,250,C-35,C-35,C-35
chiShona,500,C-35,C-35,C-35
chiShona,full,C-35,C-35,C-35
Swahili,100,C-35,C-35,C-35
Swahili,250,W-2,C-35,C-35
Swahili,500,C-35,W-2,C-35
Swahili,full,W-2,C-35,C-35
Yoruba,100,C-35,C-35,C-35
Yoruba,250,C-35,C-35,C-35
Yoruba,500,C-35,C-35,C-35
Yoruba,full,C-35,C-35,C-35
Amharic,100,C-35,C-35,C-35
Amharic,250,C-35,C-35,C-35
Amharic,500,C-35,C-35,C-35
Amharic,full,C-35,C-35,C-35
