Language,Scale,NB,SVM,XGB
Hausa,100,0.450 $\pm$ 0.037,0.475 $\pm$ 0.045,0.309 $\pm$ 0.025
Hausa,250,0.549 $\pm$ 0.061,0.563 $\pm$ 0.029,0.448 $\pm$ 0.041
Hausa,500,0.619 $\pm$ 0.010,0.668 $\pm$ 0.037,0.537 $\pm$ 0.041
Hausa,full,0.662,0.710,0.575
Igbo,100,0.527 $\pm$ 0.032,0.555 $\pm$ 0.027,0.384 $\pm$ 0.028
Igbo,250,0.591 $\pm$ 0.035,0.668 $\pm$ 0.043,0.508 $\pm$ 0.034
Igbo,500,0.690 $\pm$ 0.011,0.711 $\pm$ 0.020,0.561 $\pm$ 0.020
Igbo,full,0.732,0.750,0.609
Luganda,100,0.453 $\pm$ 0.052,0.433 $\pm$ 0.043,0.307 $\pm$ 0.039
Luganda,250,0.556 $\pm$ 0.055,0.559 $\pm$ 0.021,0.428 $\pm$ 0.035
Luganda,500,0.723 $\pm$ 0.043,0.646 $\pm$ 0.024,0.484 $\pm$ 0.025
Luganda,full,0.761,0.711,0.518
Oromo,100,0.387 $\pm$ 0.015,0.425 $\pm$ 0.039,0.292 $\pm$ 0.044
Oromo,250,0.503 $\pm$ 0.026,0.520 $\pm$ 0.040,0.379 $\pm$ 0.056
Oromo,500,0.623 $\pm$ 0.025,0.589 $\pm$ 0.030,0.459 $\pm$ 0.035
Oromo,full,0.634,0.628,0.503
Rundi,100,0.457 $\pm$ 0.022,0.447 $\pm$ 0.037,0.309 $\pm$ 0.046
Rundi,250,0.579 $\pm$ 0.018,0.598 $\pm$ 0.045,0.418 $\pm$ 0.043
Rundi,500,0.707 $\pm$ 0.030,0.683 $\pm$ 0.018,0.562 $\pm$ 0.023
Rundi,full,0.757,0.716,0.652
chiShona,100,0.491 $\pm$ 0.053,0.479 $\pm$ 0.074,0.331 $\pm$ 0.035
chiShona,250,0.579 $\pm$ 0.054,0.576 $\pm$ 0.038,0.441 $\pm$ 0.018
chiShona,500,0.672 $\pm$ 0.026,0.642 $\pm$ 0.030,0.537 $\pm$ 0.031
chiShona,full,0.708,0.717,0.544
Swahili,100,0.501 $\pm$ 0.048,0.480 $\pm$ 0.041,0.289 $\pm$ 0.029
Swahili,250,0.580 $\pm$ 0.036,0.593 $\pm$ 0.017,0.406 $\pm$ 0.058
Swahili,500,0.742 $\pm$ 0.026,0.724 $\pm$ 0.019,0.496 $\pm$ 0.024
Swahili,full,0.795,0.765,0.564
Yoruba,100,0.394 $\pm$ 0.053,0.390 $\pm$ 0.035,0.313 $\pm$ 0.018
Yoruba,250,0.479 $\pm$ 0.037,0.482 $\pm$ 0.008,0.356 $\pm$ 0.042
Yoruba,500,0.593 $\pm$ 0.038,0.611 $\pm$ 0.050,0.416 $\pm$ 0.025
Yoruba,full,0.633,0.637,0.454
Amharic,100,0.426 $\pm$ 0.056,0.402 $\pm$ 0.045,0.216 $\pm$ 0.013
Amharic,250,0.536 $\pm$ 0.045,0.543 $\pm$ 0.031,0.308 $\pm$ 0.036
Amharic,500,0.656 $\pm$ 0.018,0.650 $\pm$ 0.029,0.401 $\pm$ 0.025
Amharic,full,0.716,0.706,0.445
